Avalon,86494
Bonavista--Burin--Trinity,74116
Coast of Bays--Central--Notre Dame,77680
Labrador,27197
Long Range Mountains,86553
St. John's-Est,85697
St. John's-Sud--Mount Pearl,81979
Cardigan,36615
Charlottetown,36094
Egmont,34168
Malpeque,36030
Cape Breton--Canso,71913
Nova-Centre,71962
Cumberland--Colchester,80590
Dartmouth--Cole Harbour,92301
Halifax,94610
Halifax-Ouest,96255
Kings--Hants,83465
Sackville--Preston--Chezzetcook,86498
South Shore--St. Margarets,91830
Sydney--Victoria,72148
Nova-Ouest,82026
Acadie--Bathurst,77791
Beauséjour,82292
Fredericton,83303
Fundy Royal,79943
Madawaska--Restigouche,60378
Miramichi--Grand Lake,57405
Moncton--Riverview--Dieppe,92666
Nouveau-Brunswick-Sud-Ouest,65287
Saint John--Rothesay,79363
Tobique--Mactaquac,68673
Abitibi--Baie-James--Nunavik--Eeyou,87787
Abitibi--Témiscamingue,103491
Ahuntsic-Cartierville,117447
Alfred-Pellan,101373
Argenteuil--La Petite-Nation,95781
Avignon--La Mitis--Matane--Matapédia,71897
Beauce,108746
Beauport--Limoilou,96029
Bécancour--Nicolet--Saurel,94588
Bellechasse--Les Etchemins--Lévis,114966
Beloeil--Chambly,117343
Berthier--Maskinongé,100371
Thérèse-De Blainville,101840
Pierre-Boucher--Les Patriotes--Verchères,99787
Bourassa,101032
Brome--Missisquoi,103457
Brossard--Saint-Lambert,107582
Rimouski-Neigette--Témiscouata--Les Basques,84918
Charlesbourg--Haute-Saint-Charles,107254
Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,93674
Châteauguay--Lacolle,97887
Chicoutimi--Le Fjord,81639
Compton--Stanstead,105459
Dorval--Lachine--LaSalle,112866
Drummond,103397
Gaspésie--Les Îles-de-la-Madeleine,75850
Gatineau,107464
Hochelaga,106496
Honoré-Mercier,103592
Hull--Aylmer,105419
Joliette,104136
Jonquière,89818
La Pointe-de-l'Île,106336
La Prairie,105496
Lac-Saint-Jean,104911
Lac-Saint-Louis,108579
LaSalle--Émard--Verdun,106766
Laurentides--Labelle,113815
Laurier--Sainte-Marie,111835
Laval--Les Îles,108003
Longueuil--Charles-LeMoyne,106583
Lévis--Lotbinière,113528
Longueuil--Saint-Hubert,108703
Louis-Hébert,103346
Louis-Saint-Laurent,117238
Manicouagan,92518
Mégantic--L'Érable,87233
Mirabel,117652
Montarville,97811
Montcalm,107981
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,95527
Mont-Royal,103320
Notre-Dame-de-Grâce--Westmount,104974
